,Date,Pollster,Sample Size,Bulstrode,Lydgate,Vincy,Casaubon,Chettam,Others
105,11/23/23,Pulse Analytics,2096,0.40299999999999997,0.32,0.03,0.13699999999999998,0.07400000000000001,0.036000000000000004
106,11/23/23,Bardi University,677,0.39799999999999996,0.335,,0.084,0.092,0.091
107,11/22/23,Verity Insights,1529,0.402,0.306,0.046,0.087,0.095,0.064
108,11/20/23,Mandate Metrics,2020,0.358,0.337,,0.11699999999999999,0.084,0.10400000000000001
109,11/20/23,DemocracyMeter,733,0.34,0.29,,0.11,0.15,0.1
110,11/19/23,Civic Pulse,2569,0.38,0.32,0.02,0.09,0.15,0.04
111,11/18/23,Policy Voice Polling,1419,0.638,0.28600000000000003,0.038,0.152,0.098,0.057
112,11/17/23,Bardi University,686,0.35,0.314,,0.13,0.10800000000000001,0.099
113,11/15/23,Verity Insights,1515,0.318,0.32299999999999995,0.05,0.124,0.121,0.065
114,11/15/23,Capitol Opinion Research,1000,0.326,0.331,0.09300000000000001,0.141,0.044000000000000004,0.064
115,11/13/23,DemocracyMeter,765,0.34,0.31,,0.15,0.1,0.1
116,11/12/23,Mawmsey Reports,3065,0.384,0.314,,0.12300000000000001,0.10099999999999999,0.077
117,11/11/23,Policy Voice Polling,1519,0.345,0.33,0.037000000000000005,0.15,0.1,0.037000000000000005
118,11/11/23,Bardi University,689,0.345,0.308,,0.126,0.109,0.11199999999999999
119,11/9/23,Pulse Analytics,2094,0.344,0.306,0.057,0.133,0.136,0.025
120,11/8/23,Verity Insights,1563,0.327,0.316,0.059000000000000004,0.153,0.131,0.013999999999999999
121,11/6/23,Mandate Metrics,1950,0.35200000000000004,0.33399999999999996,,0.151,0.09,0.073
122,11/6/23,DemocracyMeter,749,0.31,0.32,,0.15,0.11,0.11
123,11/5/23,Civic Pulse,2559,0.35,0.32,0.02,0.15,0.1,0.07
124,11/5/23,Bardi University,650,0.327,0.318,,0.2,,0.155
125,11/4/23,Policy Voice Polling,1398,0.33899999999999997,0.33899999999999997,0.047,0.139,0.12300000000000001,0.012
126,11/3/23,University of Bellville-sur-Mer,1556,0.337,0.313,0.071,0.151,0.091,0.036000000000000004
127,11/1/23,Verity Insights,1473,0.321,0.326,,0.14,0.10099999999999999,0.11199999999999999
128,11/1/23,Capitol Opinion Research,1053,0.355,0.32299999999999995,,0.131,0.09699999999999999,0.09300000000000001
129,10/30/23,DemocracyMeter,713,0.32,0.33,,0.13,0.1,0.11
130,10/30/23,Bardi University,669,0.32299999999999995,0.325,,0.161,0.109,0.083
131,10/28/23,Policy Voice Polling,1469,0.29600000000000004,0.37,0.068,0.166,0.06,0.04
132,10/26/23,Pulse Analytics,2002,0.29600000000000004,0.324,,0.166,0.094,0.12
133,10/25/23,Verity Insights,1499,0.273,0.35100000000000003,0.07,0.192,0.057999999999999996,0.055
134,10/24/23,Bardi University,706,0.292,0.373,,0.134,0.127,0.07400000000000001
135,10/23/23,Mandate Metrics,1894,0.281,0.34700000000000003,0.057,0.162,0.115,0.038
136,10/23/23,DemocracyMeter,724,0.3,0.35,,0.15,0.09,0.1
137,10/22/23,Civic Pulse,2769,0.27,0.37,,0.2,0.08,0.07
138,10/21/23,Policy Voice Polling,1404,0.305,0.348,0.08,0.147,0.086,0.035
139,10/18/23,Verity Insights,1488,0.32899999999999996,0.38299999999999995,,0.13699999999999998,0.068,0.083
140,10/18/23,Capitol Opinion Research,1048,0.292,0.363,0.035,0.161,0.1,0.049
141,10/18/23,Bardi University,709,0.32,0.376,,0.141,0.085,0.078
142,10/16/23,DemocracyMeter,724,0.32,0.36,,0.13,0.12,0.06
143,10/14/23,Policy Voice Polling,1427,0.29600000000000004,0.38799999999999996,,0.17600000000000002,0.077,0.063
144,10/13/23,Mawmsey Reports,3154,0.303,0.377,,0.151,0.086,0.083
145,10/12/23,Pulse Analytics,2033,0.32299999999999995,0.37,,0.128,0.086,0.09300000000000001
146,10/12/23,Bardi University,683,0.307,0.405,,0.11699999999999999,,0.171
147,10/11/23,Verity Insights,1576,0.33299999999999996,0.389,,0.156,0.055999999999999994,0.066
